Time, Wsp
2020-03-06 12:14,2.2
2020-03-06 12:14,2.3
2020-03-06 12:14,2
2020-03-06 12:14,2.1
2020-03-06 12:14,2.5
2020-03-06 12:14,2.6
2020-03-06 12:14,2.5
2020-03-06 12:14,2.6
2020-03-06 12:14,2.7
2020-03-06 12:14,2.6
2020-03-06 12:14,2.6
2020-03-06 12:14,2
2020-03-06 12:15,2.1
2020-03-06 12:15,2.5
2020-03-06 12:15,2.1
2020-03-06 12:15,2.4
2020-03-06 12:15,2.1
2020-03-06 12:15,2.3
2020-03-06 12:15,2.4
2020-03-06 12:15,2.5
2020-03-06 12:15,2
2020-03-06 12:15,2.4
2020-03-06 12:15,2.3
2020-03-06 12:15,2
2020-03-06 12:16,1.1
2020-03-06 12:16,0.7
2020-03-06 12:16,0.5
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:16,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:17,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:18,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:19,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:20,0
2020-03-06 12:21,0
