TOA5,CR1000,CR1000,8841,CR1000.Std.25,CPU:lab6_CS.CR1,58691,CS
TIMESTAMP,RECORD,Batt_Volt_Min,T_CS,RH_CS,,,
TS,RN,Volts,degC,%,,,
,,Min,Smp,Smp,,,
2020-02-14 11:16,173,13.17,23.86,17.63,,,
2020-02-14 11:17,174,13.16,23.88,17.73,,,
2020-02-14 11:17,175,13.17,23.88,17.78,,,
2020-02-14 11:17,176,13.17,23.86,17.82,,,
2020-02-14 11:17,177,13.16,23.88,17.95,,,
2020-02-14 11:17,178,13.17,23.81,18,,,
2020-02-14 11:17,179,13.17,23.83,18.14,,,
2020-02-14 11:17,180,13.16,23.86,18.19,,,
2020-02-14 11:17,181,13.17,23.85,18.29,,,
2020-02-14 11:17,182,13.16,23.86,18.39,,,
2020-02-14 11:17,183,13.17,23.85,18.5,,,
2020-02-14 11:17,184,13.17,23.86,18.63,,,
2020-02-14 11:17,185,13.17,23.83,18.65,,,
2020-02-14 11:17,186,13.17,23.85,18.46,,,
2020-02-14 11:17,187,13.17,23.88,18.29,,,
2020-02-14 11:17,188,13.16,23.85,17.49,,,
2020-02-14 11:17,189,13.17,23.86,17.12,,,
2020-02-14 11:17,190,13.16,23.8,16.27,,,
2020-02-14 11:17,191,13.17,23.85,15.88,,,
2020-02-14 11:17,192,13.17,23.88,15.14,,,
2020-02-14 11:17,193,13.16,23.86,14.49,,,
2020-02-14 11:17,194,13.15,23.86,14.22,,,
2020-02-14 11:17,195,13.16,23.88,13.63,,,
2020-02-14 11:17,196,13.16,23.85,13.34,,,
2020-02-14 11:17,197,13.16,23.78,12.83,,,
2020-02-14 11:17,198,13.17,23.88,12.62,,,
2020-02-14 11:17,199,13.16,23.85,12.25,,,
2020-02-14 11:17,200,13.15,23.88,12.06,,,
2020-02-14 11:17,201,13.16,23.85,11.71,,,
2020-02-14 11:17,202,13.17,23.85,11.34,,,
2020-02-14 11:17,203,13.16,23.87,11.06,,,
2020-02-14 11:17,204,13.16,23.87,10.62,,,
2020-02-14 11:17,205,13.17,23.81,10.44,,,
2020-02-14 11:17,206,13.15,23.81,9.98,,,
2020-02-14 11:17,207,13.17,23.87,9.79,,,
2020-02-14 11:17,208,13.16,23.8,9.45,,,
2020-02-14 11:17,209,13.16,23.78,9.37,,,
2020-02-14 11:17,210,13.16,23.92,9.3,,,
2020-02-14 11:17,211,13.15,23.87,9.23,,,
2020-02-14 11:17,212,13.16,23.85,9.25,,,
2020-02-14 11:17,213,13.15,23.88,9.25,,,
2020-02-14 11:17,214,13.17,23.87,9.21,,,
2020-02-14 11:17,215,13.15,23.85,9.25,,,
2020-02-14 11:17,216,13.16,23.85,9.15,,,
2020-02-14 11:17,217,13.15,23.93,8.87,,,
2020-02-14 11:17,218,13.15,23.88,8.72,,,
2020-02-14 11:17,219,13.15,23.93,8.2,,,
2020-02-14 11:17,220,13.15,23.97,8.01,,,
2020-02-14 11:17,221,13.15,23.95,7.619,,,
2020-02-14 11:17,222,13.17,23.9,7.263,,,
2020-02-14 11:17,223,13.15,23.93,7.076,,,
2020-02-14 11:17,224,13.15,23.93,6.72,,,
2020-02-14 11:17,225,13.15,23.97,6.567,,,
2020-02-14 11:17,226,13.15,23.97,6.295,,,
2020-02-14 11:17,227,13.16,23.92,6.109,,,
2020-02-14 11:17,228,13.16,23.9,5.871,,,
2020-02-14 11:17,229,13.15,23.9,5.752,,,
2020-02-14 11:17,230,13.15,23.98,5.515,,,
2020-02-14 11:17,231,13.16,23.93,5.362,,,
2020-02-14 11:17,232,13.15,23.95,5.176,,,
2020-02-14 11:17,233,13.16,24,4.972,,,
2020-02-14 11:18,234,13.16,24,4.887,,,
2020-02-14 11:18,235,13.15,24,4.717,,,
2020-02-14 11:18,236,13.15,23.98,4.7,,,
2020-02-14 11:18,237,13.15,23.95,4.531,,,
2020-02-14 11:18,238,13.15,23.98,4.497,,,
2020-02-14 11:18,239,13.15,24,4.378,,,
2020-02-14 11:18,240,13.15,24,4.327,,,
2020-02-14 11:18,241,13.15,24.02,4.208,,,
2020-02-14 11:18,242,13.15,23.95,4.073,,,
2020-02-14 11:18,243,13.15,24,4.022,,,
2020-02-14 11:18,244,13.15,24.02,4.005,,,
2020-02-14 11:18,245,13.15,23.98,3.903,,,
2020-02-14 11:18,246,13.17,23.97,3.818,,,
2020-02-14 11:18,247,13.16,24.02,3.767,,,
2020-02-14 11:18,248,13.16,24.02,3.665,,,
2020-02-14 11:18,249,13.16,24.04,3.648,,,
2020-02-14 11:18,250,13.16,24.04,3.58,,,
2020-02-14 11:18,251,13.15,24.09,3.513,,,
2020-02-14 11:18,252,13.15,24.1,3.445,,,
2020-02-14 11:18,253,13.16,24.07,3.394,,,
2020-02-14 11:18,254,13.15,24.09,3.36,,,
2020-02-14 11:18,255,13.15,24.05,3.275,,,
2020-02-14 11:18,256,13.15,24.09,3.207,,,
2020-02-14 11:18,257,13.16,24.12,3.173,,,
2020-02-14 11:18,258,13.15,24.07,3.139,,,
2020-02-14 11:18,259,13.15,24,3.156,,,
2020-02-14 11:18,260,13.15,24.07,3.105,,,
2020-02-14 11:18,261,13.15,24.07,3.037,,,
2020-02-14 11:18,262,13.15,24.14,3.037,,,
2020-02-14 11:18,263,13.15,24.05,2.936,,,
2020-02-14 11:18,264,13.15,24.02,2.902,,,
2020-02-14 11:18,265,13.15,24.04,2.885,,,
2020-02-14 11:18,266,13.15,24.1,2.817,,,
2020-02-14 11:18,267,13.15,24.15,2.851,,,
2020-02-14 11:18,268,13.15,24.07,2.817,,,
2020-02-14 11:18,269,13.15,24.04,2.783,,,
2020-02-14 11:18,270,13.15,24,2.749,,,
2020-02-14 11:18,271,13.15,24.09,2.732,,,
2020-02-14 11:18,272,13.15,24.15,2.698,,,
2020-02-14 11:18,273,13.15,24.04,2.664,,,
2020-02-14 11:18,274,13.15,24.04,2.63,,,
2020-02-14 11:18,275,13.15,24.05,2.63,,,
2020-02-14 11:18,276,13.15,24.14,2.596,,,
2020-02-14 11:18,277,13.15,24.09,2.579,,,
2020-02-14 11:18,278,13.15,24.05,2.562,,,
2020-02-14 11:18,279,13.15,24.02,2.528,,,
2020-02-14 11:18,280,13.14,24.1,2.545,,,
2020-02-14 11:18,281,13.14,24.1,2.494,,,
2020-02-14 11:18,282,13.15,24.07,2.477,,,
2020-02-14 11:18,283,13.14,24.05,2.461,,,
2020-02-14 11:18,284,13.15,24.04,2.494,,,
2020-02-14 11:18,285,13.15,24.1,2.477,,,
2020-02-14 11:18,286,13.15,24.1,2.444,,,
2020-02-14 11:18,287,13.14,24.07,2.444,,,
2020-02-14 11:18,288,13.15,24.05,2.444,,,
2020-02-14 11:18,289,13.15,24.02,2.427,,,
2020-02-14 11:18,290,13.14,24.14,2.444,,,
2020-02-14 11:18,291,13.15,24.1,2.393,,,
2020-02-14 11:18,292,13.15,24.05,2.393,,,
2020-02-14 11:18,293,13.14,23.97,2.393,,,
2020-02-14 11:19,294,13.14,24,2.359,,,
2020-02-14 11:19,295,13.14,24.07,2.376,,,
2020-02-14 11:19,296,13.14,24,2.376,,,
